,Bus_name,Bus_type,Start_time,End_time,Total_duration,Price,Seats_Available,Ratings,Route_link,Route_name
0,SBSTC-FALTA - DIGHA - VIA - KOLKATA - 06:00 (FALTA DEPOT - 3488,Non AC Seater (2+3),09:15,13:45,04h 30m,INR 155,52 Seats available,"2.4
9",https://www.redbus.in/bus-tickets/kolkata-to-digha,Kolkata to Digha
1,SBSTC-KOLKATA - DIGHA - 10:00 (KHIRPAI DEPOT) - 3506,Non AC Seater (2+3),10:00,14:30,04h 30m,INR 155,48 Seats available,"3.3
17",https://www.redbus.in/bus-tickets/kolkata-to-digha,Kolkata to Digha
2,SBSTC-FALTA - DIGHA - VIA - KOLKATA - 07:00 (FALTA DEPOT - 547,Non AC Seater (2+3),10:15,14:45,04h 30m,INR 155,52 Seats available,"3.5
7",https://www.redbus.in/bus-tickets/kolkata-to-digha,Kolkata to Digha
3,SBSTC-KOLKATA - DIGHA - 10:30 (MID DEPOT) - 3363,Non AC Seater (2+3),10:30,15:00,04h 30m,INR 155,52 Seats available,3.6,https://www.redbus.in/bus-tickets/kolkata-to-digha,Kolkata to Digha
4,SBSTC-ARAMBAG - DIGHA - VIA - KOLKATA - 07:40 - 1307,Non AC Seater (2+3),10:45,15:15,04h 30m,INR 155,52 Seats available,"3.3
5",https://www.redbus.in/bus-tickets/kolkata-to-digha,Kolkata to Digha
5,Shyamoli Paribahan Pvt Ltd,VE A/C Seater (2+2),23:30,04:30,05h 00m,INR 450,40 Seats available,"4.5
340",https://www.redbus.in/bus-tickets/kolkata-to-digha,Kolkata to Digha
6,Express Line,Volvo 9600 A/C Seater (2+2),23:45,04:45,05h 00m,INR 309,35 Seats available,"4.4
319",https://www.redbus.in/bus-tickets/kolkata-to-digha,Kolkata to Digha
7,Mayuri Express,AC Seater (2+2),23:15,04:30,05h 15m,INR 400,29 Seats available,"4.2
182",https://www.redbus.in/bus-tickets/kolkata-to-digha,Kolkata to Digha
8,Maa Chandi Travels,A/C Seater / Sleeper (2+2),22:00,05:30,07h 30m,360,41 Seats available,"4.3
191",https://www.redbus.in/bus-tickets/kolkata-to-digha,Kolkata to Digha
9,Maa Chandi Travels,A/C Seater / Sleeper (2+2),23:57,05:10,05h 13m,INR 400,41 Seats available,"4.2
72",https://www.redbus.in/bus-tickets/kolkata-to-digha,Kolkata to Digha
10,West bengal transport corporation - 123496,Non AC Seater (2+3),16:15,20:15,04h 00m,INR 145,22 Seats available,3.6,https://www.redbus.in/bus-tickets/kolkata-to-mandarmani,Kolkata to Mandarmani
11,West bengal transport corporation - 157764,Non AC Seater (2+3),17:15,21:15,04h 00m,INR 145,33 Seats available,3.6,https://www.redbus.in/bus-tickets/kolkata-to-mandarmani,Kolkata to Mandarmani
12,Shyamoli Paribahan Pvt Ltd,VE A/C Seater (2+2),23:30,03:45,04h 15m,INR 450,40 Seats available,"4.6
73",https://www.redbus.in/bus-tickets/kolkata-to-mandarmani,Kolkata to Mandarmani
13,Express Line,Volvo 9600 A/C Seater (2+2),23:45,04:05,04h 20m,INR 309,35 Seats available,"4.7
42",https://www.redbus.in/bus-tickets/kolkata-to-mandarmani,Kolkata to Mandarmani
14,Samanta Travels,A/C Seater (2+3),08:40,12:40,04h 00m,INR 300,11 Seats available,"3.6
121",https://www.redbus.in/bus-tickets/kolkata-to-mandarmani,Kolkata to Mandarmani
15,AdSagufta Travels(Maa Chandi),A/C Seater / Sleeper (2+2),23:57,04:27,04h 30m,347,34 Seats available,"4.2
7",https://www.redbus.in/bus-tickets/kolkata-to-mandarmani,Kolkata to Mandarmani
16,Mayuri Express,AC Seater (2+2),23:15,03:00,03h 45m,INR 400,29 Seats available,"4.8
6",https://www.redbus.in/bus-tickets/kolkata-to-mandarmani,Kolkata to Mandarmani
17,Basu Travels,A/C Seater / Sleeper (2+2),23:59,04:00,04h 01m,INR 300,34 Seats available,"4.2
9",https://www.redbus.in/bus-tickets/kolkata-to-mandarmani,Kolkata to Mandarmani
18,Sagufta Travels (Kojagor),A/C Seater (2+3),15:50,19:50,04h 00m,291,10 Seats available,"3.4
15",https://www.redbus.in/bus-tickets/kolkata-to-mandarmani,Kolkata to Mandarmani
19,Parameswar Travels,A/C Seater Push Back (2+3),23:55,04:30,04h 35m,285,49 Seats available,"2.4
10",https://www.redbus.in/bus-tickets/kolkata-to-mandarmani,Kolkata to Mandarmani
20,Maa Chandi Travels,A/C Seater / Sleeper (2+2),23:57,04:20,04h 23m,INR 400,41 Seats available,"3.2
12",https://www.redbus.in/bus-tickets/kolkata-to-mandarmani,Kolkata to Mandarmani
21,Snemita Parisheba (Sneha Gold),AC Seater (2+3),09:15,13:15,04h 00m,361,26 Seats available,"3.0
12",https://www.redbus.in/bus-tickets/kolkata-to-mandarmani,Kolkata to Mandarmani
